299844,136,19,55
299782,180,41,66
299688,227,82,90
299557,290,140,121
299400,389,197,156
299193,519,277,213
298897,733,357,296
298538,925,520,357
298099,1179,710,447
297502,1553,934,601
296705,2056,1233,811
295610,2742,1638,1101
294276,3494,2220,1351
292544,4575,2880,1765
290297,5950,3749,2274
287384,7763,4854,2955
283603,10046,6351,3829
278795,12932,8267,4876
272635,16539,10824,6247
265233,20753,14015,7506
256052,25946,18006,9311
245102,31937,22962,11122
232375,38593,29029,12974
217861,45699,36445,14847
201811,52986,45211,16421
184972,59745,55289,17321
167356,66016,66632,18168
150114,70926,78959,17898
134015,73624,92359,16927
119247,74403,106342,15744
106299,73678,120020,14007
95135,71034,133834,12369
85777,67497,146727,10685
78018,63081,158894,9205
71887,58280,169825,7703
67102,53190,179700,6439
63411,47903,188671,5498
60709,42964,196321,4609
58771,38460,202761,3968
57375,34145,208472,3375
56546,30206,213241,2926
56113,26605,217282,2469
56071,23458,220474,2192
56433,20564,223007,1832
56943,18186,224868,1753
57757,15979,226259,1463
58716,14134,227153,1361
59786,12508,227711,1141
61070,11034,227897,1057
62420,9764,227817,970
63840,8656,227498,875
65402,7618,226978,716
67025,6752,226216,672
68653,6006,225334,593
70327,5361,224311,559
72065,4784,223152,492
73811,4292,221899,456
75568,3864,220560,453
77368,3526,219091,408
79304,3112,217579,336
81224,2886,215886,331
83067,2609,214319,306
84982,2396,212611,304
86839,2192,210964,249
88685,2021,209289,269
90530,1832,207629,219
92422,1691,205880,221
94302,1541,204153,202
96185,1438,202376,199
98047,1328,200619,175
99873,1203,198917,160
101730,1114,197148,158
103551,998,195447,140
105441,920,193642,149
107288,868,191848,139
109057,790,190158,116
110936,738,188336,103
112729,702,186577,99
114510,637,184869,81
116267,619,183125,93
118066,559,181375,76
119736,535,179727,89
121433,526,178047,92
123102,506,176404,82
124852,500,174661,82
126536,467,173006,76
128177,439,171393,73
129806,393,169806,59
131461,403,168149,75
133114,381,166520,58
134745,359,164910,65
136313,354,163347,68
137934,345,161734,48
139504,341,160176,62
141024,328,158672,45
142514,327,157190,55
143954,303,155770,52
145539,308,154177,69
147008,306,152706,54
148424,323,151277,71
149906,295,149812,46
151303,303,148418,50
152713,308,147001,53
154159,298,145563,51
155500,306,144211,64
156855,314,142849,60
158210,310,141503,66
159596,307,140120,50
160932,308,138786,60
162220,318,137485,75
163478,310,136236,54
164726,314,134987,58
166037,303,133689,57
167285,316,132420,63
168563,315,131151,54
169750,336,129950,65
170961,332,128749,60
172183,312,127542,63
173452,303,126278,56
174632,317,125081,71
175811,312,123904,66
177051,300,122674,56
178198,304,121519,70
179366,311,120351,64
180462,334,119230,74
181535,360,118128,79
182612,341,117064,65
183769,343,115908,77
184825,361,114833,89
185933,380,113712,86
186993,395,112637,94
188020,404,111596,79
189057,396,110567,83
190070,406,109545,91
191195,419,108405,91
192179,452,107385,122
193126,462,106421,99
194094,468,105445,102
195072,515,104414,130
195998,533,103470,114
196891,574,102539,140
197826,580,101603,128
198723,585,100697,128
199652,594,99762,119
200514,625,98869,157
201342,659,98007,170
202171,691,97154,153
